Thumb,Index,Middle,Ring,Pinky,Meaning
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,44.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,39.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,38.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,39.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,44.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
2.0,90.0,90.0,90.0,80.0,A
2.0,90.0,90.0,90.0,81.0,A
2.0,90.0,90.0,90.0,81.0,A
2.0,90.0,90.0,90.0,81.0,A
2.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,80.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,80.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,80.0,A
1.0,90.0,90.0,90.0,80.0,A
1.0,90.0,90.0,90.0,81.0,A
0.0,90.0,90.0,90.0,80.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,83.0,A
1.0,90.0,90.0,90.0,80.0,A
1.0,90.0,90.0,90.0,80.0,A
2.0,90.0,90.0,90.0,83.0,A
1.0,90.0,90.0,90.0,80.0,A
1.0,90.0,90.0,90.0,82.0,A
1.0,90.0,90.0,90.0,82.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,82.0,A
1.0,90.0,90.0,90.0,82.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,82.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,80.0,A
1.0,90.0,90.0,90.0,82.0,A
0.0,90.0,90.0,90.0,80.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,83.0,A
1.0,90.0,90.0,90.0,80.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,81.0,A
1.0,90.0,90.0,90.0,81.0,A
